,smiles,logP
7380,CC[C@@H](CBr)F,2.3
7381,CCCCOCCl,2.4
7382,C(CBr)NCl,0.8
7383,CCP(I)I,2.0
7384,C1=CP[PH2+]1,-0.4
7385,C/C=C/CPC,0.8
7386,C(C(Cl)Cl)(O)O,0.4
7387,C(SCCl)SCCl,3.0
7388,CC(C)CCCCl,2.9
7389,[2H]N=PN(C)C,1.1
7390,CN1NCCN1,-0.4
7391,[CH2-][NH2+]CCCO,-0.5
7392,C(C(CN)CCl)N,-0.8
7393,CC(C)SCO,1.1
7394,CCCC([CH2])O,1.2
7395,C(CNI)NP,-0.4
7396,C[C@H](CCO)N,-0.6
7397,C(O)P(CCl)CCl,0.7
7398,CNCNCCI,0.6
7399,C[NH2+]CCCCBr,1.3
7400,C[N+](C)(C)CBr,1.1
7401,CC(C)CCP,1.6
7402,C(C(I)I)S,2.3
7403,CC[C@@H](CO)[NH],-0.4
7404,CSCC(F)F,1.7
7405,CC(C(Cl)I)Cl,2.7
7406,C(O)OP,-0.6
7407,CCN(CC)SI,2.3
7408,C1CCCCCC1,4.0
7409,CCCCOCF,2.1
7410,CCSOC,0.9
7411,C(NCI)P,0.3
7412,CCCSC=C,2.3
7413,CI(C)N,1.1
7414,[14C]1=[14C][14C]=[14C][14C]=[14C]1,2.1
7415,CC(C)NCBr,1.5
7416,CCCNCCNN,-0.5
7417,CCOPI,1.2
7418,CCC(C)(C)Cl,2.5
7419,CCCOSCC,1.8
7420,C(NN)P=O,-1.9
7421,CC=CCBr,1.9
7422,CO[PH2+][O-],-0.6
7423,C=CCSN,0.4
7424,CCC[C@H](O)OC,0.8
7425,C(CBr)[NH3+],0.0
7426,CSCCCOO,0.6
7427,[2H]C([2H])(CCCC)CBr,3.8
7428,COP(OC)SC,0.5
7429,C[C@@H](CO)CI,1.4
7430,C(P=S)(I)I,2.4
7431,CCCC(O)SC,1.6
7432,CNCCC(O)O,-1.1
7433,C[C@@H](CCS)S,1.6
7434,C(OO)(F)(F)F,0.8
7435,C[C@H](CO)CBr,1.1
7436,C=ICO,0.7
7437,C(N)PPN,-1.8
7438,CC[C@@H](C)OP,1.3
7439,CSC(CCl)SC,2.3
7440,CC(C)C(Br)I,3.1
7441,CC[NH+](CC)[O-],0.4
7442,C1[C@@H]([C@H]1Cl)Cl,1.7
7443,C(C(F)F)(N)F,0.6
7444,CCCOOOC,1.1
7445,[CH][CH][CH][CH][C@H]([CH])[CH][CH],4.3
7446,C1NCOCN1,-0.7
7447,[2H][N+]([2H])([2H])CCCCCCC,2.6
7448,[2H][13C]([2H])([13C]([2H])([13C]([2H])([2H])O[2H])O[2H])O[2H],-1.8
7449,CS/C=C\Cl,1.6
7450,CC[N+](O)(O)O,-0.8
7451,CCCCCC[PH2+][O-],1.7
7452,C(OC=S)Cl,1.4
7453,CCC(Cl)Br,2.6
7454,[13CH3][15N]([13CH3])CCO,-0.4
7455,C[C@@H]([C@H](C)S)O,0.7
7456,CC(C)(C)N[O],0.3
7457,CSCCSCS,1.9
7458,CCOPOC,0.4
7459,C(F)(F)Cl,1.8
7460,[13CH2](F)I,1.3
7461,CC(C(C)I)O,1.5
7462,C1CSNP1,-0.1
7463,C(O)OOCOO,-1.0
7464,C(C(N)N)OO,-2.1
7465,C=COCCO,0.1
7466,C[PH+](O)[S-],-0.1
7467,C1CS[N]CN1,-0.3
7468,CN(CP)CP,-0.2
7469,CCC(O)OOC,0.5
7470,[3H]PPCCC,0.7
7471,C(COP(O)O)O,-1.7
7472,C[NH+]CC[NH+]C,-0.6
7473,CC(C)[C@@H](O)Cl,1.6
7474,C[C@@H](CNC)F,0.6
7475,CC(CCN)CI,1.7
7476,C=NNCCO,1.2
7477,C1[NH2+]C[NH2+]C[NH2+]1,-1.0
7478,CC(CCCl)Br,2.4
7479,CNC(F)F,0.7
7480,C(=O)I=O,0.1
7481,CC(CNN)F,-0.2
7482,C(CBr)Br,2.0
7483,[2H]N=C(F)I,1.2
7484,C[C@@H](CO)I,1.1
7485,CCCC[I+]CCCC,5.4
7486,CCOOC=C,1.2
7487,CC(CCS)CO,1.0
7488,COCCO[CH]Cl,0.6
7489,CCPPPPP,-0.2
7490,CC(C)OOCl,1.7
7491,C(CO)NNCO,-1.7
7492,[2H]C1(CCNCC1)[2H],0.8
7493,[2H]C([2H])([2H])C(CBr)C([2H])([2H])[2H],2.3
7494,CCCC([CH2-])CC,3.7
7495,CC(COC)[N-]C,0.1
7496,[CH-](I)I,2.3
7497,CCN=CP,0.2
7498,[3H][13C]1=[14N][13C](=[14N][13C](=[14N]1)[3H])[3H],0.0
7499,CO[PH+](C)OO,-0.5
7500,CCOP[O-],-0.2
7501,[3H]SCS,0.9
7502,[H][C@@]([2H])(CC=C)S,1.6
7503,[2H]P(C)P=S,1.0
7504,CC1CCCC1,3.4
7505,[2H]/C(=C(\[2H])/CC)/CC,2.5
7506,C=CCOCF,1.2
7507,CCC(C)CO,1.2
7508,[CH2-]CCCCN,1.5
7509,C1=CSN=[C]1,1.0
7510,C1[C@H]([C@@H]1Cl)Cl,1.7
7511,CCCC(CF)O,1.2
7512,C(CCCl)CF,1.9
7513,C=CSOOO,0.6
7514,CNCSOO,-0.3
7515,CNSCCO,-0.4
7516,C(C(=[NH2+])N)Cl,-0.1
7517,C(ONOCCl)Cl,1.3
7518,C(=C\Br)\F,1.3
7519,C(O)(O)(O)S,-1.4
7520,C1CSSCS1,1.4
7521,[CH2-]CCC[O+]=C,2.3
7522,C([C@@H](CS)O)O,-0.8
7523,[2H]C([2H])([2H])SCCC=O,0.3
7524,[2H][13CH]([C@@]([2H])(C([2H])([2H])O)O)O,-1.8
7525,COCOCCO,-0.7
7526,[C-]#[N+]I,0.9
7527,CC(P)(P)P,-0.3
7528,C1CSSN1,0.4
7529,C[C@H](CP)CI,1.8
7530,[3H]OC[C@H](C)CO,-0.3
7531,COCCOCOC,-0.1
7532,CC1CSSC1,1.5
7533,CC(CCI)N,1.2
7534,CCCNP[O-],0.0
7535,C1NCNCN1,-1.0
7536,CC[I-](F)F,3.0
7537,C(C=CI)S,1.7
7538,CSC(CBr)Br,2.6
7539,C(CI)OCI,1.9
7540,CC(C)SSC,1.7
7541,[CH-]1C=CSSO1,1.0
7542,CC(C(C)Cl)N,0.7
7543,[CH]CC(CO)CO,0.0
7544,C1CC1SI,2.3
7545,CCCC(CC)S,2.7
7546,CCC[NH2+]CC[NH3+],-0.3
7547,[C]1=NSN=N1,0.2
7548,[CH]C1CCCC1,3.4
7549,CN[S+](C)NC,0.4
7550,C(O)P(O)PO,-1.7
7551,[3H]CSOC,0.5
7552,CCCC[CH+]CC,4.4
7553,CCOCCCNC,0.4
7554,[2H]C([2H])(C([2H])([2H])C([2H])([2H])C([2H])([2H])O)C([2H])([2H])C([2H])([2H])O,0.3
7555,C(CO)C(Cl)Cl,1.2
7556,CCC(C)CCO,1.8
7557,CC[C@H](CBr)Br,2.7
7558,C(C(CS)N)O,-1.0
7559,C(CBr)CI,2.4
7560,CC(OC)SC,1.3
7561,CCCC(O)I,1.6
7562,CC1=NC=C[N]1,0.3
7563,C[P+](C)(C)[O],-0.5
7564,CC(C)(C)[PH3+],0.9
7565,CP(O)S,-0.1
7566,C(OO)OOOO,-0.9
7567,CC(C)(F)Br,2.0
7568,C(CCCN)CC[NH3+],-0.2
7569,CCCC=CP,1.6
7570,C1CSC[CH+]1,1.4
7571,[2H]COCCOC,-0.2
7572,CCCOCO[O],0.4
7573,C(CS)N(N)N,-0.9
7574,CPPPP,-0.4
7575,CCC(Cl)Cl,2.5
7576,C(O)P(CO)N,-2.0
7577,CC(CO)I,1.1
7578,C#CI,1.2
7579,CCOCC(O)O,-0.8
7580,CC(CCBr)O,1.1
7581,[CH-](O)I,0.3
7582,C(=S)NNN,-0.8
7583,[3H]C1=C(C=CC=C1)[3H],2.1
7584,C(N)PP,-1.1
7585,C(CCl)OOCCCl,1.3
7586,C[CH+]I(C)I,3.6
7587,[2H][13C]([2H])([2H])N(C)CC(C)C,1.0
7588,C[SH+]SSC,1.3
7589,CC(C)CNC[CH],1.5
7590,CCC[C@H](CN)N,-0.3
7591,[2H]C([2H])([2H])[S+](C([2H])([2H])[2H])C([2H])([2H])[2H],0.9
7592,C(C[NH2+]C[NH3+])[NH3+],-2.0
7593,CSP(SC)SC,1.3
7594,[13C](=O)(Cl)Cl,1.8
7595,[2H]CC(C)C(C)O,1.3
7596,C(N)(NO)F,-1.0
7597,CC(C)(C)CBr,2.7
7598,CCC[C-]1CC1,3.0
7599,CCOSO,0.4
7600,CSCF,1.3
7601,CC(O)OOO,-0.5
7602,C(CO)COI,0.6
7603,C(C=CCl)I,2.4
7604,CSCCOCO,0.1
7605,C(CS)CSCCS,1.8
7606,CCP=S,1.3
7607,CC(C(Cl)Br)Cl,2.8
7608,CCCCNF,1.1
7609,C(C(CN)CO)N,-2.1
7610,CP(C)CCCS,0.6
7611,C(CCNF)CN,-0.4
7612,CC(CCCI)O,2.0
7613,COC(I)I,1.6
7614,CCC(C)[C-]=C,2.7
7615,CP(F)F,1.0
7616,C(O)SS,0.4
7617,CNCCOSC,0.1
7618,CNNCNCCN,-1.7
7619,C[I-]P,1.2
7620,CC(CN)NN,-1.5
7621,C(OOCP)P,-0.3
7622,CCPSCC,1.1
7623,C1COCC[N]1,-0.9
7624,C(CN)CP=O,-1.4
7625,CC(C)C[C](C)C,3.4
7626,C[CH-]CC(C)[CH-]C,3.7
7627,CCOC[CH]C,1.3
7628,CC(C)SCNC,1.3
7629,C=CCOS,1.2
7630,CCCCCC[NH3+],2.1
7631,CCCC(N)S,1.0
7632,CCCCCOS,2.4
7633,C(C(F)F)OCF,1.4
7634,CCOCBr,1.3
7635,CC(=C)CI,2.7
7636,CC(NC[CH2])O,0.0
7637,[2H]C1=C(N=C(N=C1[2H])[2H])[2H],-0.4
7638,COCCOBr,0.7
7639,CCCSOOS,1.9
7640,COCl=O,1.8
7641,CCSNC=O,0.4
7642,CCCCCCNO,1.6
7643,[CH2-]CCCSC[CH2+],2.5
7644,[2H]C([2H])(C([2H])([2H])Br)Cl,1.6
7645,CCCCC[CH2-],3.9
7646,CC(C)CNF,1.2
7647,[3H][I-]CI,2.3
7648,C(CO)NCS,-0.5
7649,CC(C=C)Cl,1.9
7650,CCCCN(C)F,1.6
7651,CO/C=C/OC,0.4
7652,[2H]C([3H])([3H])PBr,0.9
7653,[2H]C([2H])([2H])SCl,1.3
7654,[2H]C([3H])(PF)I,1.2
7655,CCCCCCC[S-],3.9
7656,CCN/C=C/C,1.4
7657,CCC=NCC,0.7
7658,C(=S)(S)S,1.5
7659,CCCCCSS,2.7
7660,[2H]OC(CO)CO,-1.8
7661,[2H]N([2H])CCCCCCC,2.6
7662,C(SSCl)(Cl)Cl,3.1
7663,CCCCP[O-],0.6
7664,C([C@@H](F)Br)O,0.8
7665,C(CNCCI)N,0.0
7666,COP(O)ON,-1.2
7667,C(PCl)PCl,1.3
7668,[2H]C(F)Br,1.4
7669,CCC(N)NCN,-0.9
7670,COSCCO,-0.2
7671,CPPP,-0.3
7672,CCC(C)(C)[N],0.8
7673,C[14CH2]I,2.1
7674,CN(C)C(F)F,1.2
7675,CCC[OH+]CCCO,0.6
7676,CCC(C)[CH-]C,3.2
7677,C(F)P(F)F,1.5
7678,[2H]C([2H])(C)CC([2H])([2H])CCO,2.0
7679,CCCCN[CH]C,1.6
7680,CC[C@@H](C)SC,2.2
7681,CC(ON)Br,0.6
7682,C1CC1CCO,1.0
7683,CC(SS)SS,2.2
7684,C/C=C/CP,0.8
7685,C1CCOCOC1,0.4
7686,C[C@H](CCNC)O,-0.1
7687,COP(C)P,-0.1
7688,CSCSSSC,2.1
7689,C1=NN=NN=N1,-1.4
7690,C(=O)([O-])[IH+],1.3
7691,[2H]C([2H])CCCCCCC([2H])[2H],3.9
7692,C1CN[C@H]1Br,0.9
7693,C=CCNCS,0.8
7694,COCNCI,0.5
7695,CCOCNP,0.0
7696,CCC(C)CNC,1.5
7697,C(C(NN)S)S,-0.2
7698,CCC(CC)C[NH3+],1.3
7699,C([18F])I,1.3
7700,C(N)S(=O)[O-],-2.0
7701,C(CC[NH3+])CCN,-0.6
7702,CC(Cl)(Cl)Cl,2.4
7703,C1C(CN1)Br,0.4
7704,CCCCCCC[CH]C,4.5
7705,CCONCCO,-0.5
7706,CC[C@@H](CSC)N,0.9
7707,COI(C)C,1.9
7708,[CH2]CCNCCF,1.0
7709,CCC(C)[S-],1.8
7710,CCCN(C)CS,1.5
7711,CC(SCN)I,1.2
7712,CCCNC([NH3+])N,-0.9
7713,CCC(CN)CN,-0.5
7714,CCCC(CC)CC,4.3
7715,C(CCSP)CO,0.4
7716,C[S](C)[OH2+],0.4
7717,C(N)SOOO,-0.8
7718,CC(C(C)O)[NH3+],-0.5
7719,[2H]CP(P)PP,-0.4
7720,CS(C)(C)I,1.8
7721,CC[PH+](CC)O,0.2
7722,CSCCSCN,0.7
7723,C[C@H](CCN)OC,-0.1
7724,C(SN)I,0.5
7725,CNP(C)C,-0.3
7726,CCC(CC)F,2.4
7727,C1SCS[CH]S1,2.2
7728,[C@H]([C@@H](Cl)Br)(Cl)Br,3.3
7729,[2H]C([2H])([2H])N1C=CC=C1,1.2
7730,CCC[CH]OCC,2.0
7731,CCOCCCCO,0.8
7732,CCPN(F)F,0.6
7733,CC(CCCI)I,4.1
7734,C[I+]I,2.4
7735,[2H]C(CCCCCC)C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],5.0
7736,C(C(I)I)P,1.7
7737,COCP(C)C,-0.1
7738,C(O)(F)(F)Br,1.2
7739,C(CO)[N]CCO,-1.4
7740,C(/C=C/S)S,1.0
7741,CCCC(C)[O],1.2
7742,[2H]C([2H])([2H])C([2H])(C)CCN,1.0
7743,C(CBr)C=S,1.0
7744,CC(C)(F)F,1.6
7745,CSCN=C,2.1
7746,CCC[C@@H](F)S,2.3
7747,C(=S)(Br)Br,2.6
7748,[3H]CC(C)(CC)CC,3.6
7749,CCCC[C@H](C)CC,4.3
7750,C(CSSCCN)N,-1.0
7751,CCOC(Br)Br,2.2
7752,[3H]CCCCCCCC,3.9
7753,CSSC(F)F,1.9
7754,CCCCNNCl,1.1
7755,[2H]C([2H])(C([2H])([2H])C([2H])([2H])Br)C([2H])([2H])Cl,2.3
7756,[2H]CC(OC([2H])([2H])[2H])OC([2H])([2H])[2H],0.5
7757,CCOCCSI,1.9
7758,C[17O]P([17O]C)[17O]C,0.1
7759,CNC(=S)[S],0.7
7760,CCC(S)S,1.9
7761,C(CO)N(Br)Br,0.5
7762,CN(C)CCCP,0.3
7763,CCC(CC)CCI,4.5
7764,CC(=N)I,0.9
7765,C(N(CF)I)F,1.5
7766,CCC(P)PP,0.5
7767,CSCCN=O,0.2
7768,COC(OC)O[CH2+],0.2
7769,[2H]C(Cl)(Br)Br,2.6
7770,C(OO)(F)Cl,0.8
7771,[2H]C([2H])([2H])NCCCO,-0.5
7772,CC(C(C)Cl)Cl,2.3
7773,COSCCl,1.2
7774,CCNC(N)S,-0.2
7775,CPSC,0.4
7776,CCCCOPCC,1.6
7777,CC(NI)O,0.0
7778,C[C@H](CC(C)N)N,-0.4
7779,CNCCCO,-0.5
7780,CP(C)CCSC,0.6
7781,C([C@H](CF)N)O,-1.0
7782,C(CI)F,1.7
7783,C1=C=C=CS1,-0.1
7784,CCCC([CH2-])Cl,2.5
7785,C(C[35SH])N,-0.4
7786,C(OCP)P,-0.4
7787,CC[C@@H](CO)Cl,1.1
7788,CC[C@@H](C)SS,2.3
7789,C(/C=C\Cl)Br,1.9
7790,CSCC[CH2],1.8
7791,C(CN)CNNN,-1.8
7792,CCC(CC)I,3.4
7793,[2H]C1=CC(=C(C=C1[2H])[2H])[2H],2.1
7794,CCC[C@H](N)O,0.0
7795,CC(C)CNNC,0.9
7796,[2H]C(C)(S)I,1.7
7797,CC[13CH2]Br,2.1
7798,C[NH2+]CI=N,1.1
7799,[2H]CCC(C)(C)C,3.0
7800,CCC[NH2+]CCOC,0.5
7801,[2H][13CH]([C@]([2H])(CO)O)O,-1.8
7802,CCOCCOI,1.1
7803,CC(CN)COC,-0.1
7804,C(CBr)NI,0.9
7805,CCPPPPPP,-0.3
7806,CCCCPCCN,0.2
7807,CCC[C@@H](N)F,1.0
7808,CN(C)COCl,1.0
7809,CCCCCNS,2.1
7810,C(CSP)N,-0.6
7811,CCS[C@H](N)O,-0.1
7812,C1CC[I+]C1,3.0
7813,CCCPSI,2.1
7814,C(CC(Br)Br)CBr,3.4
7815,C(C(Cl)Cl)P,1.2
7816,C[C@@H](C=O)I,1.0
7817,CCC(C[O-])CBr,2.6
7818,[CH]C[C@@H](CO)O,-0.2
7819,C(C(I)I)Cl,2.6
7820,CCNCCCl,0.8
7821,C(=NBr)Br,2.2
7822,CC(CI)S,2.1
7823,CNCP(O)O,-1.4
7824,C(O[CH]OO)OO,-1.0
7825,CO[PH+](OC)OC,0.1
7826,C1=NC=NN=N1,-0.9
7827,CC(C(O)Cl)O,0.0
7828,[2H]C([2H])([2H])C(C)(C([2H])([2H])[2H])C([2H])([2H])[2H],2.5
7829,C[CH]C(F)(F)F,2.2
7830,C(/C=C\Br)O,0.5
7831,CN(CCO)N,-1.2
7832,CC(C)CC=N,1.1
7833,C(Cl)(Cl)I,2.3
7834,CCN(C)C[CH],1.0
7835,COOOCl,1.0
7836,[3H]CC(C)SCC,2.0
7837,[2H]I(C)S,1.8
7838,C(F)(F)(F)[S],1.7
7839,CCN(F)I,1.1
7840,COSSOC,1.0
7841,CNOCCl,0.5
7842,[13CH3]SCCCl,1.5
7843,C([C@H](CO)O)N,-2.0
7844,[2H]C([2H])(C([3H])([3H])NC([3H])([3H])C([2H])([2H])O)O,-1.4
7845,CC(CBr)OC,1.3
7846,CCCCCCCO,2.7
7847,CC[C@H](CSC)O,1.2
7848,C(OC=O)OI,0.9
7849,CPNCOPS,0.0
7850,CC(CCO)I,1.4
7851,C(CSCO)S,0.6
7852,CCOC[C@@H](C)O,0.2
7853,CCCOCC,1.3
7854,C(O)(O)P(S)S,-0.2
7855,[CH]C(CCN)N,-0.9
7856,CCC(NC)O,0.2
7857,CN(C)CCP,-0.1
7858,CCCC(CN)Cl,1.2
7859,[2H]C([2H])(C([2H])([2H])Cl)N(C)C,0.3
7860,CCC(C)CCCl,3.0
7861,CNN(C)I,0.4
7862,C(CCF)CCP,1.3
7863,CS[I-]COP,1.6
7864,C(#[15N])Br,1.1
7865,C(CCO)CCO[O],0.0
7866,C1SSSSSS1,2.5
7867,C(C(CO)F)N,-1.0
7868,C[P+](C)(C)O,-0.5
7869,C([O])(Cl)(Cl)Cl,1.5
7870,C([C@@H](CCl)Cl)N,0.5
7871,C[CH]CCCCOC,2.4
7872,CCSF,1.4
7873,CC[S+]1CC1,1.0
7874,C(CP=O)P,-1.1
7875,C(C(F)Cl)(F)Cl,2.4
7876,[3H]C(=O)SCC,1.0
7877,C(=C\Cl)\F,1.2
7878,CCC(COC)Cl,1.6
7879,C(SBr)Br,2.3
7880,C1COPO1,-0.2
7881,C(C=[C]Br)O,0.5
7882,C(C(CO)NO)O,-2.0
7883,CC(C)CNC[CH2],1.5
7884,C(/C=C/Cl)Br,1.9
7885,CC[NH2+]C[C+](C)C,1.5
7886,C([15NH]C(Cl)Cl)O,0.7
7887,[CH2+]CCCBr,2.8
7888,C=CSNI,1.1
7889,CCC(CC)OP,1.8
7890,C(CSS)C=O,0.4
7891,CCCC1C[CH+]1,3.0
7892,C(COCO)CI,1.0
7893,CN(O)Br,0.3
7894,C[C@@H]([C@@H](N)I)N,-0.4
7895,CC(CNC)CI,1.7
7896,[2H]C(CC)(CO)N,-0.4
7897,CC(CCO)O,-0.4
7898,C[NH2+]CC1CC1,0.5
7899,CCCC(C)ON,1.0
7900,[2H]C([2H])(CN([2H])C([2H])([2H])C([2H])([2H])O[2H])O,-1.4
7901,CC(C)NCNO,-0.2
7902,COOOOOC,0.3
7903,COOC(O)O,-1.0
7904,[2H]C([2H])([2H])C(C)(C([2H])([2H])[2H])O,0.5
7905,CCSCl,1.6
7906,CC(C)OC(C)C,1.5
7907,CCOOCOOO,0.0
7908,CCCCOBr,2.3
7909,CC(C)NC[CH2],0.9
7910,[2H]CC(C)(C)Cl,1.8
7911,CC[C@H](C)CP,1.6
7912,C[N-]C1CCC1,0.7
7913,CCNNCC,0.3
7914,[2H]C1(C(C(C(C1([2H])[2H])([2H])Br)([2H])[2H])([2H])[2H])[2H],2.3
7915,C(CF)C(N)N,-0.8
7916,C[C@H](CN)SC,0.4
7917,C(COCCOO)O,-1.4
7918,CCON(N)N,-0.8
7919,C(CC=S)CBr,1.4
7920,CC(C(S)Cl)Cl,2.3
7921,C(CCOO)CN,-0.6
7922,[CH2]CCCCCCBr,4.4
7923,CCSC=S,1.6
7924,C=CCC=[PH2+],-0.3
7925,COOO[S-],0.7
7926,[2H]C(=C(Cl)Cl)[2H],2.3
7927,CC(CCF)Br,2.1
7928,[2H]C([2H])([2H])C(C([2H])([2H])[2H])(C([2H])([2H])[2H])OC([2H])([2H])[2H],0.9
7929,CC(C)CSO,1.3
7930,CC(CNC)Br,1.0
7931,CCCN(C)CCl,1.8
7932,CCC=CCCl,2.1
7933,CCOCSF,1.3
7934,[2H]C(CC)CN(C)C,1.7
7935,[C@@H]([C@@H](F)Cl)(F)Cl,2.4
7936,C(=N)Br,0.9
7937,COP(C)O,-0.5
7938,[2H]P(C)POO,-0.6
7939,CN=I[S-],1.5
7940,C(C[O])CI,1.0
7941,CCSSCCS,1.6
7942,C(CO)C(O)Br,0.1
7943,[13CH3][13CH]([13CH3])O[13CH]([13CH3])[13CH3],1.5
7944,CC(C([CH2])Cl)Cl,2.3
7945,C(CI)C(O)Cl,1.8
7946,C(COP)C=N,-0.5
7947,[2H]C(C)CCCCCCC,4.5
7948,[CH]OCCCO,-0.2
7949,C#[P+]I,0.7
7950,C[C@@H]([C@H](C)I)F,2.5
7951,C(C=CCBr)Br,2.1
7952,C[S@](=O)Cl,0.4
7953,CCC([CH]C)[CH][CH],3.7
7954,CC(NCN)I,0.1
7955,C1NNSN1,-0.4
7956,CNCNC=O,-0.8
7957,C1CSCS1,1.4
7958,C[P+](=O)F,-0.3
7959,CCC[C@@H](O)F,1.3
7960,CCCCCCCC[CH2],4.5
7961,CN(C)C(Br)Br,2.0
7962,[2H]C(CCN)CN,-0.9
7963,CC(CBr)O,0.7
7964,C(C(F)F)O,0.4
7965,C1NCPO1,-0.5
7966,[2H]C([2H])(CCl)N([2H])[2H],-0.1
7967,C(O)SC=S,0.7
7968,C1OC(O1)Cl,0.7
7969,[CH2-][NH2+]CCCCN,-0.4
7970,[2H]C(C)(C)CCCCC,4.3
7971,CCN(S)SC,1.6
7972,CCN(CF)Cl,1.4
7973,CCC[C@@H](C)F,2.3
7974,CCC(CC)C[N-]C,1.8
7975,[2H]C(CC)(CC)Br,2.8
7976,CCCCC[CH]C,4.4
7977,[CH]NCCCF,0.5
7978,C(CONO)O,-1.3
7979,CCSC(C)CS,2.0
7980,CC(C)NC(C)C,1.4
7981,C(CC=[SH+])C[S-],0.9
7982,CC[C@@H](CI)NC,1.9
7983,C1C[I-]C1,2.5
7984,CSC([NH3+])N,-0.7
7985,C(C(F)Br)(F)F,2.3
7986,[2H]CC(C[2H])CC=C,2.7
7987,COCCCN[CH],0.0
7988,CCCC(C)SCl,2.9
7989,CSNCCO,-0.4
7990,C1CN1SS,1.0
7991,CCC[S+](CC)CC,2.5
7992,C(NSP)O,-0.5
7993,CCCCC[C-],3.9
7994,CCSNC=S,1.0
7995,CC(C)CPC,1.2
7996,CCC[C@@H](N)O,0.0
7997,CSS(C)(C)C,1.3
7998,[2H]C([2H])([2H])C(C([2H])([2H])[2H])(C([2H])([2H])[2H])S,1.5
7999,C[13C](=O)Br,0.8
8000,CCCN=S,2.2
8001,C(CC[O-])CC[O-],2.2
8002,[2H]OC(C[O+]([2H])[2H])C[O+]([2H])[2H],-1.8
8003,[CH](Cl)Br,1.7
8004,CC[C@H](CI)O,1.6
8005,CC(C)P=O,-0.1
8006,CC[C+](C)CC,3.2
8007,C(O)SI,1.1
8008,C1=[C+]N=NN=C1,-0.7
8009,C(#N)Br,1.1
8010,[2H]C1=C(SC=C1)[2H],1.8
8011,C(CI)N=N,2.0
8012,CN(C)C(O)O,-0.8
8013,CCSC(C)N,0.8
8014,CC(C)(C)SP,1.3
8015,[2H]C([2H])([2H])NC=CNC([2H])([2H])[2H],0.5
8016,C1CONOC1,0.0
8017,CCNC=S,0.5
8018,C(C(Cl)Cl)(F)Cl,2.7
8019,CC(OP)S,0.8
8020,C(CCNCN)CN,-1.3
8021,CCCOCCC,2.0
8022,C(CN)COS,0.0
8023,CS[C]=S,1.3
8024,C=CCOCS,1.1
8025,[2H]PCI,0.7
8026,C(OOO)(Cl)Cl,1.1
8027,CCC(F)F,2.0
8028,CC(C)PCF,1.2
8029,CCPCPC,0.1
8030,C(/C=C/CN)N,-1.3
8031,CCOSC,0.9
8032,CCCOCPO,0.3
8033,[2H]C(C)C([2H])C([2H])C=O,1.1
8034,C(/C=C\CO)O,-0.8
8035,C(C=NO)I,0.7
8036,C(CI)Cl,1.9
8037,CP(Cl)Cl,1.5
8038,CCCCCNI,1.9
8039,C(CC(O)O)C[NH3+],-1.2
8040,C(CCl)C(O)O,0.0
8041,CCCCCCC[CH2],3.9
8042,[2H]C(=C([2H])C([2H])([2H])C([2H])([2H])C(=C([2H])[2H])[2H])[2H],2.9
8043,[2H]C=CCCCC,3.4
8044,CN(C)COCO,-0.4
8045,CC(C)CPCl,2.0
8046,CCOCC[N-]C,0.0
8047,CCC(S)SC,2.2
8048,C(S)SCSCS,2.4
8049,C(C(CN)N)N,-2.5
8050,C(C=CI)I,2.6
8051,CCNNI,0.3
8052,CC(P=O)Cl,0.3
8053,CC(CON)N,-1.2
8054,CC(C)C(Br)Br,3.2
8055,C1CN1CCl,0.7
8056,C(CN)COF,0.0
8057,CS(=C)F,2.2
8058,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C,4.4
8059,[2H]ONC([3H])P,-0.9
8060,CNNCSCN,-0.5
8061,CC(C)SOOC,1.4
8062,CC(C)(C)CC[CH2],3.6
8063,CC(C=N)I,1.1
8064,[2H]N([2H])CCCCC,1.5
8065,CCSCCS,1.5
8066,C([C](CO)O)O,-1.8
8067,C1C(O1)CBr,0.8
8068,COCSCCN,-0.1
8069,COCCCC[NH3+],-0.1
8070,CCCC(CC)F,2.8
8071,CC(CO)SC,0.6
8072,CCSNI,1.0
8073,C(C=S)C=S,0.6
8074,[2H]C([2H])(C)Br,1.4
8075,CNOOCOC,-0.2
8076,C1CC(C1)I,2.6
8077,C[C@H](CNN)N,-1.5
8078,[2H]C([2H])([2H])C(C([2H])([2H])[2H])Cl,1.6
8079,CCOC[C@H](C)O,0.2
8080,CC(C)(C)[NH2+][CH2-],0.8
8081,C(O)(O)(Cl)Cl,0.2
8082,C(C(=O)[O-])I,1.1
8083,C1=NSNSN1,2.7
8084,CC([CH2+])CNC,1.1
8085,CC(CC[CH2])F,2.3
8086,[2H]CCCCCCCC[2H],3.9
8087,CCC[C@H](CO)F,1.2
8088,[CH2]CCCCCC[CH2],3.9
8089,CC(CC(C)S)S,2.0
8090,C[C@H](CO)[CH]CO,0.0
8091,C(CCSO)CO,0.0
8092,C(CS)OI,1.2
8093,[CH2]CCCN=C,2.6
8094,CPNI(C)C,1.0
8095,C(ON)(F)F,0.3
8096,C[C@H](CCCP)P,0.7
8097,C1C(SS1)O,0.2
8098,[2H][13CH]([13C@@H](CO)O)O,-1.8
8099,CN(SC)I,1.1
